doc_id,source,period,published_at,title,url,cjk_chars,views,visibility_percentile_in_pilot_cell,visibility_evidence,article_type,translators,is_translation,translation_evidence,manual_quality_pass,manual_visibility_pass,suspected_promotion,exclusion_reason,reviewer_notes
73e9f6e61e27e1e32264551f,infoq,pre,2021-07-02,不止Docker：8款容器管理开源方案,https://www.infoq.cn/article/YE7LJiEI4rOPGRaCJE08,3407,13930,1.0,page_view_snapshot,,[],False,['original_link_marker'],,,,,
0dfc33ff7071975b48e12981,infoq,pre,2021-10-14,定位你的到底是App，还是手机厂商的操作系统？,https://www.infoq.cn/article/tX4oPEA5QwLGeK8wCg0W,738,12827,0.8889,page_view_snapshot,,[],False,[],,,,,
9e271d7b118c949e83c9ff8d,infoq,pre,2022-06-09,被称作CentOS未来的CentOS Stream是个啥？,https://www.infoq.cn/article/NGt234WtjgPOwITMlXWo,3169,12041,0.7778,page_view_snapshot,,[],False,[],,,,,
be3e4a9eccc5d3a7e69212c3,infoq,pre,2021-11-05,Angular 13 发布：全面弃用 View Engine,https://www.infoq.cn/article/v0V0CYr4i9lGR6c7US00,945,11595,0.6667,page_view_snapshot,,[],False,[],,,,,
d8917e9eedea037e2ed53511,infoq,pre,2021-10-19,苹果再放出两款“王炸”自研芯片，英特尔再难换回库克的心,https://www.infoq.cn/article/7SWwNUZLAPTM5TIAqwMI,2924,8531,0.5556,page_view_snapshot,,[],False,[],,,,,
bf1abf6ca461ec0bbac14bd7,infoq,pre,2022-01-20,工商银行实时大数据平台建设历程及展望,https://www.infoq.cn/article/Mcqw76pE8CZbkCby1Bz6,3572,7746,0.4444,page_view_snapshot,,[],False,[],,,,,
81938af852e380b36bede22b,infoq,pre,2022-01-26,中国电信宣布5G消息正式商用,https://www.infoq.cn/article/N00FLzs20hlJZU56qVx4,895,7049,0.3333,page_view_snapshot,,[],False,[],,,,,
7d5e92ccde58b3b78616293c,infoq,pre,2021-07-19,旷视十年，回答AI技术价值跃迁的“灵魂”三问,https://www.infoq.cn/article/d9N51XgSHzETcAC15Amb,2416,6795,0.2222,page_view_snapshot,,[],False,[],,,,,
2d8b8db77aefcdcbf86f23b4,infoq,pre,2022-01-10,数据库内核杂谈(二十二) 自动驾驶数据库 - Behavior Modeling,https://www.infoq.cn/article/mtyRVkfZ9dQNcqlslfJe,2044,6734,0.1111,page_view_snapshot,,[],False,[],,,,,
a05a8bb2f7fe7bfe85ba7e46,infoq,pre,2022-04-28,从理论到实战，带你全面解读智能物联网技术！,https://www.infoq.cn/article/4HpjOJPUjHsMZ3gv1CHT,2606,6503,0.0,page_view_snapshot,,[],False,[],,,,,
213dcab213f816c7c548fc09,infoq,post,2026-04-24,Snowflake Cortex Code 的规范驱动开发：将 SDLC 方法论引入 AI 辅助工作流 ｜ 技术实践,https://www.infoq.cn/article/o8dh3dRH6Kk8vzrzKdJd,4723,17054,1.0,page_view_snapshot,,[],False,['original_link_marker'],,,,,
3c60dc0a981b686870095450,infoq,post,2026-06-26,当 Agent 成为新的核心云用户：阿里云重新定义“用云范式”,https://www.infoq.cn/article/s6TAS5JMIW1miPSqIsk0,3877,12821,0.8889,page_view_snapshot,,[],False,[],,,,,
44aa81958a6c585ee8c06847,infoq,post,2026-01-16,拒绝传统Router“瞎指挥”，多智能体如何实现智能任务分配？,https://www.infoq.cn/article/cYlRMETcNGxhDvBqCDII,1296,12450,0.7778,page_view_snapshot,,[],False,[],,,,,
0431c592d5de8246cebcb8e2,infoq,post,2025-10-05,5个月内失败十几次，几人团队在压力下做出爆款App！网友：AI时代懂人性比懂技术更重要,https://www.infoq.cn/article/zYz0h5ygZd1M3cuWfUam,2772,12318,0.6667,page_view_snapshot,,[],False,[],,,,,
48bda219eb0776f623161899,infoq,post,2026-01-29,世界模型混战，蚂蚁炸出开源牌,https://www.infoq.cn/article/hmKcZ2hdjDk3SspgikfV,5068,11430,0.5556,page_view_snapshot,,[],False,[],,,,,
b186cdd4f9004e0413395bf3,infoq,post,2026-05-06,第一个全职AI CEO来了！29岁前编程神童正让AI替他管理千人公司,https://www.infoq.cn/article/F7cOsyYyhcBaHUYD5kYx,13714,11240,0.4444,page_view_snapshot,,[],False,[],,,,,
084c17f921cc74b858d04cdb,infoq,post,2026-05-22,阶跃星辰副总裁俞刚确认出席AICon上海站，分享多模态生成与理解的架构演进,https://www.infoq.cn/article/VcK5bVdskQZ2j7uEdbvN,746,10749,0.3333,page_view_snapshot,,[],False,[],,,,,
b77b09a419c1631227112f0c,infoq,post,2026-03-27,aiXcoder全新推出代码变更应用模型aiX-apply-4B，效果比肩DeepSeek-V3.2，推理效率提升15倍,https://www.infoq.cn/article/aFl3mHPMjIGb6mZX5Dv1,1423,10147,0.2222,page_view_snapshot,,[],False,[],,,,,
48a7a6192771112323fd6820,infoq,post,2026-02-24,当AI开始学做⼈：逐句解读OpenClaw的AgentS.md ——SOUL.md定义了灵魂，AgentS.md教会它怎么活,https://www.infoq.cn/article/6DDhlbmtGRomwDCHh4Ts,8901,10109,0.1111,page_view_snapshot,,[],False,[],,,,,
a127f5baf364930a89fb4005,infoq,post,2025-10-23,性能飞跃！ClickHouse 处理复杂 JSON，速度提升58倍，内存减少3300倍,https://www.infoq.cn/article/3EJlljs8O1UyuWfEMB1H,2163,9449,0.0,page_view_snapshot,,[],False,[],,,,,
1a5bf7a3c811a61f24384560,jiqizhixin,pre,2022-06-06,领克发布智能电混技术，全新设计语言概念车The Next Day亮相,https://www.jiqizhixin.com/articles/2022-06-06-21,1983,,,editorial_source_only_unverified,原创,[],False,[],,,,,
2046a00e2b504539234c6c70,jiqizhixin,pre,2022-06-24,Target 系列论坛 | 「多模态AI视频分析：技术及应用」线上直播回顾,https://www.jiqizhixin.com/articles/2022-06-24-2,2497,,,editorial_source_only_unverified,原创,[],False,[],,,,,
2176304c3523784c901e14e0,jiqizhixin,pre,2022-06-28,清华徐勇、段文晖研究组开发出高效精确的第一性原理电子结构深度学习方法与程序,https://www.jiqizhixin.com/articles/2022-06-28-2,991,,,editorial_source_only_unverified,原创,[],False,[],,,,,
34be1e39038614fec204e995,jiqizhixin,pre,2022-06-26,更准更快的YOLOv6来了，美团出品并开源,https://www.jiqizhixin.com/articles/2022-06-26-2,3136,,,editorial_source_only_unverified,原创,[],False,[],,,,,
