doc_id,source,published_at,title,url,candidate_label,label_evidence,cjk_chars,review_include,review_gold_label,reviewer,reviewed_at,review_notes
081fc13106e1ecce38807387,infoq,2024-08-05,继裁掉Python团队后，谷歌Go团队也迎来动荡：团队灵魂人物、领导Go十二年的技术负责人突然宣布退位,https://www.infoq.cn/article/wxfU8AS9uJQ2TwIIBt7D,original_pending_review,"[""original_candidate_signal""]",3719,no,,huyao,2026-08-21T15:25:33.771206Z,Explicit translation or compilation marker identified.
d16d5e992d93522e48e6d9a9,infoq,2023-10-01,华为中秋节给员工发Mate60手机；商汤科技回应原知产总监被立案侦查；马斯克平均年终奖33亿元 | AI一周资讯,https://www.infoq.cn/article/etaokYfgLHFXpFa5DpSK,original_pending_review,"[""original_candidate_signal""]",3477,yes,original,huyao,2026-08-21T15:25:55.129176Z,First-party Chinese practice or case study; no specific translated foreign work identified.
44079570ddf13bf9bacba3cb,infoq,2023-04-03,“诱骗”ChatGPT生成Win95系统密钥，1/3概率可激活；微软Teams落地国内；京东拟分拆旗下两公司上市｜AI一周资讯,https://www.infoq.cn/article/XVRINNYgprSOwajdgNii,original_pending_review,"[""original_candidate_signal""]",2281,yes,original,huyao,2026-08-21T15:26:03.690906Z,First-party Chinese practice or case study; no specific translated foreign work identified.
ff33cd9163c1c6a848fa040f,infoq,2023-07-25,晟云磐盾郝峻晟：技术人如何走上创业之路，实现人生价值,https://www.infoq.cn/article/x5pfVaM4F0ghRfKr8ZQB,original_pending_review,"[""original_candidate_signal""]",6203,yes,original,huyao,2026-08-21T15:26:26.597568Z,Chinese original reporting or interview; no specific translated foreign work identified.
0603327bb491975831a4428b,infoq,2025-05-21,微软重磅开源Copilot！64 岁 VS Code 创始人亲口承认：眼红 Cursor，但真正价值在后端，它“抄”不过去！,https://www.infoq.cn/article/3GqjomSQFG2DPKUpSmpf,original_pending_review,"[""original_candidate_signal""]",5805,no,,huyao,2026-08-21T15:26:41.428923Z,Specific translated foreign source work identified.
c0baee8ef7b63cd9cb501143,infoq,2023-04-11,热点聚焦|金融科技新闻速览（4.8-4.11）,https://www.infoq.cn/article/28ZmXcrRWC90ibRpzgTB,original_pending_review,"[""original_candidate_signal""]",1488,,,,,
8c4909bcd038fb2bd4269b78,infoq,2024-09-14,RAG风口十问：大数据与AI是价值落地还是过度炒作？,https://www.infoq.cn/article/RtEJ34DXUR8ObbtXr1Td,original_pending_review,"[""original_candidate_signal""]",5500,,,,,
f2a7adac5af4ea327b312cc9,infoq,2023-05-12,考公考编统统拿下，AI做题家来卷人类了！微软发布新型基准测试AGIEval，GPT-4作答高考英语准确率超90%,https://www.infoq.cn/article/7EvDLvvufhxyKm9YHBUY,original_pending_review,"[""original_candidate_signal""]",1050,,,,,
fafc7d023c1f3ffcaae39da8,infoq,2023-08-10,OpenAI 推出网络爬虫 GPTBot，引发网站抵御潮：信息被爬走就很可能意味着永远无法删除,https://www.infoq.cn/article/IzPVkcZg0jeHGcD4xP7H,original_pending_review,"[""original_candidate_signal""]",1921,,,,,
ca20838db88af51d53f9d94f,infoq,2024-04-29,大模型开闭源争吵不休：开源落后闭源一年，决定模型能力的不是技术？,https://www.infoq.cn/article/eVugB4V9E9cEsqaEJ27O,original_pending_review,"[""original_candidate_signal""]",6159,,,,,
