doc_id,cohort,published_month,relation_support_causal_count,relation_support_causal_problem_ratio,relation_support_clarification_count,relation_support_clarification_problem_ratio,relation_support_contrast_count,relation_support_contrast_problem_ratio,relation_support_determinate_ratio,relation_support_emphasis_count,relation_support_emphasis_problem_ratio,relation_support_indeterminate_ratio,relation_support_inference_count,relation_support_inference_problem_ratio,relation_support_instance_count,relation_support_instances_per_100_sentences,relation_support_mean_anchor_score,relation_support_mean_payload_gain,relation_support_problem_count,relation_support_problem_per_100_sentences,relation_support_problem_ratio,relation_support_problem_ratio_determinate,relation_support_redundant_ratio,relation_support_supported_ratio,relation_support_type_mismatch_ratio,relation_support_unsupported_ratio
0431c592d5de8246cebcb8e2,post,2025-10,1,0.0,0,0.0,8,0.125,0.5833333333333334,3,0.0,0.4166666666666667,0,0.0,12,17.142857142857142,0.010845588235294116,10.833333333333334,1,1.4285714285714286,0.08333333333333333,0.14285714285714285,0.0,0.5,0.08333333333333333,0.0
084c17f921cc74b858d04cdb,post,2026-05,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213dcab213f816c7c548fc09,post,2026-04,1,0.0,0,0.0,6,0.3333333333333333,0.7,3,0.0,0.3,0,0.0,10,8.0,0.0434596265436691,8.2,2,1.6,0.2,0.2857142857142857,0.0,0.5,0.2,0.0
3c60dc0a981b686870095450,post,2026-06,8,0.0,1,0.0,14,0.5,0.5945945945945946,13,0.0,0.40540540540540543,1,0.0,37,22.699386503067483,0.03719631178559029,9.567567567567568,7,4.294478527607362,0.1891891891891892,0.3181818181818182,0.0,0.40540540540540543,0.1891891891891892,0.0
44aa81958a6c585ee8c06847,post,2026-01,0,0.0,0,0.0,7,0.14285714285714285,0.25,1,0.0,0.75,0,0.0,8,25.0,0.014309006211180123,9.625,1,3.125,0.125,0.5,0.0,0.125,0.125,0.0
48a7a6192771112323fd6820,post,2026-02,5,0.0,1,0.0,48,0.3958333333333333,0.43103448275862066,3,0.0,0.5689655172413793,1,0.0,58,11.439842209072978,0.03844439687147783,6.189655172413793,19,3.7475345167652856,0.3275862068965517,0.76,0.0,0.10344827586206896,0.3275862068965517,0.0
48bda219eb0776f623161899,post,2026-01,0,0.0,1,0.0,4,0.5,0.7777777777777778,3,0.0,0.2222222222222222,1,0.0,9,7.258064516129033,0.1312676675176675,5.888888888888889,2,1.6129032258064515,0.2222222222222222,0.2857142857142857,0.0,0.5555555555555556,0.2222222222222222,0.0
a127f5baf364930a89fb4005,post,2025-10,2,0.0,0,0.0,4,0.0,0.42857142857142855,1,0.0,0.5714285714285714,0,0.0,7,12.280701754385964,0.039502164502164504,9.0,0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0
b186cdd4f9004e0413395bf3,post,2026-05,36,0.0,3,0.0,80,0.4,0.5,44,0.0,0.5,1,0.0,164,31.477927063339735,0.0502680017596882,7.9573170731707314,32,6.142034548944338,0.1951219512195122,0.3902439024390244,0.0,0.3048780487804878,0.1951219512195122,0.0
b77b09a419c1631227112f0c,post,2026-03,1,0.0,0,0.0,0,0.0,0.6666666666666666,2,0.0,0.3333333333333333,0,0.0,3,11.11111111111111,0.08100575078516255,15.0,0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0
0dfc33ff7071975b48e12981,pre,2021-10,0,0.0,0,0.0,3,0.0,0.25,0,0.0,0.75,1,0.0,4,33.33333333333333,0.028423659673659674,19.25,0,0.0,0.0,0.0,0.0,0.25,0.0,0.0
2d8b8db77aefcdcbf86f23b4,pre,2022-01,2,0.0,0,0.0,4,0.25,0.42857142857142855,1,0.0,0.5714285714285714,0,0.0,7,10.606060606060606,0.06927172034314891,5.0,1,1.5151515151515151,0.14285714285714285,0.3333333333333333,0.0,0.2857142857142857,0.14285714285714285,0.0
73e9f6e61e27e1e32264551f,pre,2021-07,10,0.0,0,0.0,10,0.3,0.4,4,0.0,0.6,1,0.0,25,20.32520325203252,0.04694311283906114,7.48,3,2.4390243902439024,0.12,0.3,0.0,0.28,0.12,0.0
7d5e92ccde58b3b78616293c,pre,2021-07,2,0.0,1,0.0,3,0.3333333333333333,0.42857142857142855,1,0.0,0.5714285714285714,0,0.0,7,11.29032258064516,0.10363411408706096,8.857142857142858,1,1.6129032258064515,0.14285714285714285,0.3333333333333333,0.0,0.2857142857142857,0.14285714285714285,0.0
81938af852e380b36bede22b,pre,2022-01,0,0.0,0,0.0,2,0.5,0.5,0,0.0,0.5,0,0.0,2,10.526315789473683,0.02139423076923077,12.5,1,5.263157894736842,0.5,1.0,0.0,0.0,0.5,0.0
9e271d7b118c949e83c9ff8d,pre,2022-06,5,0.0,2,0.0,9,0.3333333333333333,0.631578947368421,3,0.0,0.3684210526315789,0,0.0,19,27.142857142857142,0.047884695790512966,14.842105263157896,3,4.285714285714286,0.15789473684210525,0.25,0.0,0.47368421052631576,0.15789473684210525,0.0
a05a8bb2f7fe7bfe85ba7e46,pre,2022-04,1,0.0,0,0.0,2,0.0,0.3333333333333333,0,0.0,0.6666666666666666,0,0.0,3,8.108108108108109,0.0813266499582289,14.0,0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
be3e4a9eccc5d3a7e69212c3,pre,2021-11,1,0.0,0,0.0,1,0.0,0.5,0,0.0,0.5,0,0.0,2,10.0,0.0,12.0,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
bf1abf6ca461ec0bbac14bd7,pre,2022-01,9,0.0,0,0.0,4,0.75,0.3076923076923077,0,0.0,0.6923076923076923,0,0.0,13,14.285714285714285,0.07106051989794367,14.307692307692308,3,3.296703296703297,0.23076923076923078,0.75,0.0,0.07692307692307693,0.23076923076923078,0.0
d8917e9eedea037e2ed53511,pre,2021-10,2,0.0,0,0.0,7,0.2857142857142857,0.2222222222222222,0,0.0,0.7777777777777778,0,0.0,9,9.183673469387756,0.0721937321937322,6.666666666666667,2,2.0408163265306123,0.2222222222222222,1.0,0.0,0.0,0.2222222222222222,0.0
